,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Drop Hour,Request Timeslot,Drop Timeslot,Request dayofweek,Drop dayofweek,Trip Duration,Supply_Gap
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,10.0,Morning,Morning,Friday,Friday,52.38,Supply
28,669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13,13.0,Afternoon,Afternoon,Monday,Monday,41.0,Supply
29,1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6,7.0,Early Morning,Early Morning,Tuesday,Tuesday,49.0,Supply
30,1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9,10.0,Morning,Morning,Tuesday,Tuesday,60.0,Supply
31,2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16,17.0,Evening,Evening,Tuesday,Tuesday,52.0,Supply
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,6.0,Early Morning,Early Morning,Wednesday,Wednesday,35.65,Supply
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,20.0,Evening,Night,Wednesday,Wednesday,34.08,Supply
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,3.0,Late Night,Late Night,Thursday,Thursday,64.05,Supply
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,13.0,Afternoon,Afternoon,Thursday,Thursday,44.3,Supply
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,9.0,Morning,Morning,Friday,Friday,67.23,Supply
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,15.0,Afternoon,Afternoon,Friday,Friday,46.18,Supply
38,312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7,8.0,Early Morning,Morning,Monday,Monday,64.0,Supply
39,577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11,12.0,Morning,Afternoon,Monday,Monday,58.0,Supply
40,1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20,21.0,Night,Night,Monday,Monday,47.0,Supply
41,1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8,9.0,Morning,Morning,Tuesday,Tuesday,43.0,Supply
42,2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14,15.0,Afternoon,Afternoon,Tuesday,Tuesday,62.0,Supply
43,2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21,22.0,Night,Night,Tuesday,Tuesday,57.0,Supply
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,8.0,Early Morning,Morning,Wednesday,Wednesday,61.55,Supply
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,12.0,Afternoon,Afternoon,Wednesday,Wednesday,32.18,Supply
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,7.0,Early Morning,Early Morning,Thursday,Thursday,66.62,Supply
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,10.0,Morning,Morning,Friday,Friday,58.28,Supply
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,23.0,Night,Night,Friday,Friday,69.32,Supply
49,1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5,6.0,Early Morning,Early Morning,Tuesday,Tuesday,43.0,Supply
50,1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13,13.0,Afternoon,Afternoon,Tuesday,Tuesday,49.0,Supply
51,2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,7.0,Early Morning,Early Morning,Wednesday,Wednesday,50.03,Supply
52,3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,22.0,Night,Night,Wednesday,Wednesday,52.35,Supply
53,4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,3.0,Late Night,Late Night,Thursday,Thursday,53.22,Supply
54,4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,15.0,Afternoon,Afternoon,Thursday,Thursday,48.12,Supply
55,5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,22.0,Night,Night,Thursday,Thursday,51.8,Supply
56,6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,1.0,Late Night,Late Night,Friday,Friday,64.0,Supply
57,5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,8.0,Early Morning,Morning,Friday,Friday,46.07,Supply
58,6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,15.0,Afternoon,Afternoon,Friday,Friday,65.05,Supply
59,1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19,20.0,Evening,Night,Monday,Monday,70.0,Supply
60,1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22,23.0,Night,Night,Monday,Monday,65.0,Supply
61,2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20,21.0,Night,Night,Tuesday,Tuesday,49.0,Supply
62,4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,4.0,Late Night,Early Morning,Thursday,Thursday,59.43,Supply
63,4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,10.0,Morning,Morning,Thursday,Thursday,65.8,Supply
64,4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,19.0,Evening,Evening,Thursday,Thursday,58.42,Supply
65,5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,10.0,Morning,Morning,Friday,Friday,50.18,Supply
66,6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,16.0,Afternoon,Evening,Friday,Friday,46.68,Supply
67,380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8,9.0,Morning,Morning,Monday,Monday,60.0,Supply
68,1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19,20.0,Evening,Night,Monday,Monday,51.0,Supply
69,1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8,9.0,Morning,Morning,Tuesday,Tuesday,27.0,Supply
70,2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21,22.0,Night,Night,Tuesday,Tuesday,75.0,Supply
71,3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,11.0,Morning,Morning,Wednesday,Wednesday,44.92,Supply
72,4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,12.0,Morning,Afternoon,Thursday,Thursday,64.4,Supply
73,449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9,9.0,Morning,Morning,Monday,Monday,44.0,Supply
74,846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17,18.0,Evening,Evening,Monday,Monday,66.0,Supply
75,1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23,0.0,Night,Late Night,Monday,Tuesday,44.0,Supply
76,1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5,5.0,Early Morning,Early Morning,Tuesday,Tuesday,43.0,Supply
77,2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18,18.0,Evening,Evening,Tuesday,Tuesday,34.0,Supply
78,3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,8.0,Morning,Morning,Wednesday,Wednesday,31.67,Supply
79,3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,17.0,Evening,Evening,Wednesday,Wednesday,28.32,Supply
80,3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,21.0,Night,Night,Wednesday,Wednesday,46.08,Supply
81,4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,0.0,Night,Late Night,Wednesday,Thursday,59.97,Supply
82,4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,5.0,Early Morning,Early Morning,Thursday,Thursday,45.42,Supply
83,4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,19.0,Evening,Evening,Thursday,Thursday,63.93,Supply
84,5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,6.0,Early Morning,Early Morning,Friday,Friday,38.0,Supply
85,5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,12.0,Morning,Afternoon,Friday,Friday,40.93,Supply
86,1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9,10.0,Morning,Morning,Tuesday,Tuesday,48.0,Supply
87,2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15,16.0,Afternoon,Evening,Tuesday,Tuesday,66.0,Supply
88,3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,10.0,Morning,Morning,Wednesday,Wednesday,65.52,Supply
89,4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,8.0,Early Morning,Morning,Thursday,Thursday,57.43,Supply
90,4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,14.0,Afternoon,Afternoon,Thursday,Thursday,39.53,Supply
91,5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,7.0,Early Morning,Early Morning,Friday,Friday,46.88,Supply
92,6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,17.0,Evening,Evening,Friday,Friday,71.88,Supply
93,2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14,15.0,Afternoon,Afternoon,Tuesday,Tuesday,51.0,Supply
94,3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,11.0,Morning,Morning,Wednesday,Wednesday,62.58,Supply
95,3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,14.0,Afternoon,Afternoon,Wednesday,Wednesday,39.27,Supply
96,4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,7.0,Early Morning,Early Morning,Thursday,Thursday,30.08,Supply
97,4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,19.0,Evening,Evening,Thursday,Thursday,52.32,Supply
98,5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,7.0,Early Morning,Early Morning,Friday,Friday,50.17,Supply
99,5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,9.0,Morning,Morning,Friday,Friday,51.02,Supply
100,6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,20.0,Evening,Night,Friday,Friday,40.18,Supply
101,45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3,4.0,Late Night,Early Morning,Monday,Monday,52.0,Supply
102,264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6,7.0,Early Morning,Early Morning,Monday,Monday,49.0,Supply
103,1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21,21.0,Night,Night,Monday,Monday,33.0,Supply
104,1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5,6.0,Early Morning,Early Morning,Tuesday,Tuesday,60.0,Supply
105,2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20,21.0,Night,Night,Tuesday,Tuesday,68.0,Supply
106,2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22,23.0,Night,Night,Tuesday,Tuesday,37.0,Supply
107,4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,3.0,Late Night,Late Night,Thursday,Thursday,58.9,Supply
108,4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,11.0,Morning,Morning,Thursday,Thursday,63.78,Supply
109,5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,20.0,Evening,Night,Thursday,Thursday,42.72,Supply
110,5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,8.0,Early Morning,Morning,Friday,Friday,67.7,Supply
111,5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,10.0,Morning,Morning,Friday,Friday,43.02,Supply
112,6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,19.0,Evening,Evening,Friday,Friday,41.3,Supply
113,155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5,6.0,Early Morning,Early Morning,Monday,Monday,56.0,Supply
114,310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7,8.0,Early Morning,Morning,Monday,Monday,64.0,Supply
115,607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,12.0,Morning,Afternoon,Monday,Monday,51.0,Supply
116,1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19,19.0,Evening,Evening,Monday,Monday,42.0,Supply
117,1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8,8.0,Morning,Morning,Tuesday,Tuesday,41.0,Supply
118,3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,9.0,Morning,Morning,Wednesday,Wednesday,63.25,Supply
119,4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,6.0,Early Morning,Early Morning,Thursday,Thursday,73.3,Supply
120,4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,12.0,Morning,Afternoon,Thursday,Thursday,46.88,Supply
121,5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,22.0,Night,Night,Thursday,Thursday,40.82,Supply
122,5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,6.0,Early Morning,Early Morning,Friday,Friday,62.23,Supply
123,6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,22.0,Night,Night,Friday,Friday,32.6,Supply
124,139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5,6.0,Early Morning,Early Morning,Monday,Monday,48.0,Supply
125,215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6,7.0,Early Morning,Early Morning,Monday,Monday,52.0,Supply
126,1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9,10.0,Morning,Morning,Tuesday,Tuesday,43.0,Supply
127,2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21,22.0,Night,Night,Tuesday,Tuesday,71.0,Supply
128,3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,13.0,Afternoon,Afternoon,Wednesday,Wednesday,54.28,Supply
129,5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,22.0,Night,Night,Thursday,Thursday,30.83,Supply
130,6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,18.0,Evening,Evening,Friday,Friday,58.8,Supply
131,6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,0.0,Night,Late Night,Friday,Saturday,65.03,Supply
132,1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19,20.0,Evening,Night,Monday,Monday,66.0,Supply
133,2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,23,0.0,Night,Late Night,Tuesday,Wednesday,52.2,Supply
134,3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,10.0,Morning,Morning,Wednesday,Wednesday,51.23,Supply
135,3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,22.0,Night,Night,Wednesday,Wednesday,29.17,Supply
136,4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,9.0,Morning,Morning,Thursday,Thursday,39.25,Supply
137,5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,21.0,Night,Night,Thursday,Thursday,30.8,Supply
138,6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,13.0,Afternoon,Afternoon,Friday,Friday,62.87,Supply
139,6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,20.0,Night,Night,Friday,Friday,37.85,Supply
140,591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,12.0,Morning,Afternoon,Monday,Monday,66.0,Supply
141,709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14,15.0,Afternoon,Afternoon,Monday,Monday,47.0,Supply
142,1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20,21.0,Night,Night,Monday,Monday,62.0,Supply
143,2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,23,0.0,Night,Late Night,Tuesday,Wednesday,64.35,Supply
144,2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,5.0,Early Morning,Early Morning,Wednesday,Wednesday,50.92,Supply
145,3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,10.0,Morning,Morning,Wednesday,Wednesday,32.62,Supply
146,3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,16.0,Afternoon,Evening,Wednesday,Wednesday,73.72,Supply
147,3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,22.0,Night,Night,Wednesday,Wednesday,29.47,Supply
148,4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,5.0,Early Morning,Early Morning,Thursday,Thursday,69.3,Supply
149,4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,9.0,Morning,Morning,Thursday,Thursday,42.93,Supply
150,4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,15.0,Afternoon,Afternoon,Thursday,Thursday,62.45,Supply
151,5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,23.0,Night,Night,Thursday,Thursday,61.92,Supply
152,6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,17.0,Evening,Evening,Friday,Friday,79.1,Supply
153,6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,21.0,Night,Night,Friday,Friday,59.82,Supply
154,634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12,13.0,Afternoon,Afternoon,Monday,Monday,41.0,Supply
155,939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18,19.0,Evening,Evening,Monday,Monday,61.0,Supply
156,2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22,23.0,Night,Night,Tuesday,Tuesday,75.0,Supply
157,3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,8.0,Early Morning,Morning,Wednesday,Wednesday,52.78,Supply
158,4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,15.0,Afternoon,Afternoon,Thursday,Thursday,44.78,Supply
159,4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,19.0,Evening,Evening,Thursday,Thursday,56.03,Supply
160,5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,0.0,Night,Late Night,Thursday,Friday,49.87,Supply
161,5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,5.0,Early Morning,Early Morning,Friday,Friday,58.27,Supply
162,5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,12.0,Morning,Afternoon,Friday,Friday,66.5,Supply
163,6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,21.0,Night,Night,Friday,Friday,39.08,Supply
164,499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9,10.0,Morning,Morning,Monday,Monday,37.0,Supply
165,1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20,21.0,Night,Night,Monday,Monday,36.0,Supply
166,1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3,4.0,Late Night,Early Morning,Tuesday,Tuesday,73.0,Supply
167,1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9,9.0,Morning,Morning,Tuesday,Tuesday,45.0,Supply
168,1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11,12.0,Morning,Afternoon,Tuesday,Tuesday,41.0,Supply
169,2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,2.0,Late Night,Late Night,Wednesday,Wednesday,50.43,Supply
170,2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,6.0,Early Morning,Early Morning,Wednesday,Wednesday,42.18,Supply
171,3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,23.0,Night,Night,Wednesday,Wednesday,57.7,Supply
172,4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,17.0,Evening,Evening,Thursday,Thursday,47.4,Supply
173,5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,21.0,Night,Night,Thursday,Thursday,58.67,Supply
174,5890,City,18.0,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,10.0,Morning,Morning,Friday,Friday,71.42,Supply
175,494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9,10.0,Morning,Morning,Monday,Monday,26.0,Supply
176,1485,City,19.0,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5,6.0,Early Morning,Early Morning,Tuesday,Tuesday,74.0,Supply
